"GEO_ID","NAME","B15010_001E","B15010_001M","B15010_002E","B15010_002M","B15010_003E","B15010_003M","B15010_004E","B15010_004M","B15010_005E","B15010_005M","B15010_006E","B15010_006M","B15010_007E","B15010_007M","B15010_008E","B15010_008M","B15010_009E","B15010_009M","B15010_010E","B15010_010M","B15010_011E","B15010_011M","B15010_012E","B15010_012M","B15010_013E","B15010_013M","B15010_014E","B15010_014M","B15010_015E","B15010_015M","B15010_016E","B15010_016M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Science and Engineering!!Computers, Mathematics and Statistics","Margin of Error!!Total:!!Science and Engineering!!Computers, Mathematics and Statistics","Estimate!!Total:!!Science and Engineering!!Biological, Agricultural, and Environmental Sciences","Margin of Error!!Total:!!Science and Engineering!!Biological, Agricultural, and Environmental Sciences","Estimate!!Total:!!Science and Engineering!!Physical and Related Sciences","Margin of Error!!Total:!!Science and Engineering!!Physical and Related Sciences","Estimate!!Total:!!Science and Engineering!!Psychology","Margin of Error!!Total:!!Science and Engineering!!Psychology","Estimate!!Total:!!Science and Engineering!!Social Sciences","Margin of Error!!Total:!!Science and Engineering!!Social Sciences","Estimate!!Total:!!Science and Engineering!!Engineering","Margin of Error!!Total:!!Science and Engineering!!Engineering","Estimate!!Total:!!Science and Engineering!!Multidisciplinary Studies","Margin of Error!!Total:!!Science and Engineering!!Multidisciplinary Studies","Estimate!!Total:!!Science and Engineering Related Fields","Margin of Error!!Total:!!Science and Engineering Related Fields","Estimate!!Total:!!Business","Margin of Error!!Total:!!Business","Estimate!!Total:!!Education","Margin of Error!!Total:!!Education","Estimate!!Total:!!Arts, Humanities, and Other!!Literature and Languages","Margin of Error!!Total:!!Arts, Humanities, and Other!!Literature and Languages","Estimate!!Total:!!Arts, Humanities, and Other!!Liberal Arts and History","Margin of Error!!Total:!!Arts, Humanities, and Other!!Liberal Arts and History","Estimate!!Total:!!Arts, Humanities, and Other!!Visual and Performing Arts","Margin of Error!!Total:!!Arts, Humanities, and Other!!Visual and Performing Arts","Estimate!!Total:!!Arts, Humanities, and Other!!Communications","Margin of Error!!Total:!!Arts, Humanities, and Other!!Communications","Estimate!!Total:!!Arts, Humanities, and Other!!Other","Margin of Error!!Total:!!Arts, Humanities, and Other!!Other"
"0400000US32","Nevada","548919","11029","19273","2230","29915","3018","19817","2710","27260","2912","39661","3153","37516","2945","3548","924","57907","4171","125194","5781","66172","4018","18855","1930","20841","2440","20847","2133","21747","2325","40366","3786"
"0400000US33","New Hampshire","368237","7860","18836","2357","24473","2489","10636","1550","21859","2262","24862","2413","32196","3049","4760","1126","36642","3121","69922","4268","39679","2757","18924","2393","18552","2268","13898","2419","13742","2074","19256","2006"
"0400000US34","New Jersey","2551765","22914","152176","6102","138208","6420","94859","6048","136061","6446","199568","6842","232896","8250","11486","1564","225607","7857","551474","12433","268203","8105","108264","5141","113738","5867","101058","5373","101822","5002","116345","6010"
"0400000US35","New Mexico","394598","7946","13901","1893","31403","2781","17509","1943","19512","2339","33872","2943","29469","3125","2154","845","41657","3469","54692","3138","57259","4098","18009","2250","19901","2224","19950","2536","10548","1784","24762","2837"
"0400000US36","New York","5166218","34997","240853","9773","261573","7712","148056","6487","298938","9733","506680","13057","297244","8629","35735","3399","479671","11368","964887","17882","545542","11243","292677","9563","282432","8333","339710","10245","222660","9169","249560","9994"
"0400000US37","North Carolina","2321185","27291","107169","4970","152899","6383","74546","4396","114365","5273","168787","6786","166052","6399","17103","2527","233162","9123","471697","13972","280963","10072","90672","5675","110213","4678","82854","5318","90190","6185","160513","6789"
"0400000US38","North Dakota","153397","5795","5289","1498","15838","1999","2466","688","4672","1164","6368","1605","6721","1489","655","337","24017","2869","31208","3018","29033","2543","3027","673","5288","1470","2731","873","3981","971","12103","1853"
"0400000US39","Ohio","2356585","20214","96692","5320","139443","6104","72732","4538","99628","5559","121553","5097","181825","7499","14875","1782","277212","8394","503277","11133","351202","9755","81047","4145","98607","4931","91199","4782","94016","4802","133277","5977"
"0400000US40","Oklahoma","686509","8539","20349","1952","52325","3499","21219","2190","26673","1988","34388","2708","38751","2756","6569","1433","70853","3759","154362","5331","124801","4263","18459","2139","27390","2276","20795","2159","23205","2548","46370","3303"
"0400000US41","Oregon","1032316","14180","38061","3230","94977","4960","46825","3511","59253","4032","96386","5248","72771","5435","11791","1909","86986","4814","149989","6615","110849","5984","57307","4085","60502","4133","56427","4377","42320","3283","47872","4138"
"0400000US42","Pennsylvania","2917402","23596","129379","5221","184663","7422","87264","4761","153180","5768","196020","7246","202416","6972","19736","2226","325160","7590","557288","10542","402944","9184","119737","5352","132188","5909","111009","4809","121982","6032","174436","7232"
"0400000US44","Rhode Island","260275","8015","10366","1731","16536","2449","6447","1126","16626","2121","20294","2531","18714","2201","1463","673","25154","2830","47251","3370","29657","2715","15617","1873","13186","1867","12447","1785","7774","1643","18743","2713"
"0400000US45","South Carolina","1054559","14749","36441","3622","61026","3325","31180","3302","49473","3545","67849","4220","73809","4383","7883","1564","106360","5778","244608","8936","158539","7017","35950","2619","50908","3396","32947","3221","31913","3220","65673","5114"
"0400000US46","South Dakota","174784","7295","5449","1143","17529","1701","3585","891","6975","1408","9649","1608","8480","1542","1167","632","22384","2361","34722","3461","34004","2561","3781","930","6274","1264","4200","1185","4957","1089","11628","1619"
"0400000US47","Tennessee","1348224","17428","48757","4315","91970","4287","43489","3907","60979","3761","73255","4917","87137","5527","9361","1746","142105","6591","302281","9329","184641","7259","38357","2615","62278","4317","55149","4237","56287","4189","92178","5124"
"0400000US48","Texas","5776533","43194","286344","10971","352620","11073","192914","9101","234696","10521","330403","9769","567667","17098","69954","5188","552412","13159","1340690","25371","686845","12920","176640","7564","231882","8358","170620","7335","225185","9548","357661","11630"
"0400000US49","Utah","664661","13951","34002","2988","38255","3418","16903","1791","29986","2949","45241","3622","47266","3815","7737","1448","68981","4170","128000","6595","83000","4566","32422","2492","23098","2661","24721","2594","29797","2411","55252","3679"
"0400000US50","Vermont","172272","5233","5542","1114","14765","1536","4752","948","11937","1473","17306","1646","10482","1314","939","349","14964","1498","18402","2075","23066","1884","13239","1542","11509","1362","11256","1341","3919","782","10194","1311"
"0400000US51","Virginia","2325070","23259","154800","6433","137756","5847","72287","4787","112545","7077","244569","7458","198942","6535","23886","2392","185017","8217","427386","9248","210501","7553","118487","4613","134840","5843","81377","4655","78742","4130","143935","5893"
"0400000US53","Washington","1955632","17636","127606","6618","145630","6789","65959","4454","97646","4341","167942","6424","200567","7063","18542","2491","166505","8021","313212","8336","188089","7127","97894","4974","96852","5641","88818","5639","75607","4577","104763","5442"
"0400000US54","West Virginia","269706","9065","8298","1484","19925","2268","8941","1590","11200","1701","12059","1904","15383","2065","3303","1145","35408","3014","48368","3490","55900","4244","7050","1265","11904","1660","7509","1681","7046","1221","17412","1748"
"0400000US55","Wisconsin","1258379","16999","46206","3333","106164","4305","34503","2997","55179","2937","74658","4253","80650","3981","6102","971","147987","5974","250467","8009","189348","6053","42283","2744","47611","2568","45318","3420","52692","3157","79211","4424"
"0400000US56","Wyoming","113557","5448","2944","1187","12135","1773","6186","1377","5337","1314","5941","1205","8329","1643","669","554","11843","1842","16670","2331","22550","2390","3115","767","4323","1105","3850","1386","2382","786","7283","1290"
"0400000US72","Puerto Rico","626580","13840","15017","2272","38769","4399","23170","2472","28246","3259","26394","2657","33557","3161","2422","866","75432","5408","181675","8217","116667","5660","6291","1326","14951","2643","9215","1532","13046","2319","41728","3166"
